"Reference","Qty","Value","LCSC Part","Manufacturer","Manufacturer Part"
"BTN1,BTN2","2","1825910-6","","TE CONNECTIVITY",""
"C1,C2","2","12p","","",""
"C3,C5,C6,C7,C9,C11,C12,C18,C25,C27,C28,C31,C33,C34,C43,C44,C50,C52","18","100n","","",""
"C4,C14,C16,C19,C20,C22,C23,C24,C32,C46,C48,C51","12","10u","","",""
"C8,C10,C37,C38,C39,C40","6","2.2u","","",""
"C13,C47","2","10n","","",""
"C15,C17","2","1u","","",""
"C21,C26","2","100n","","",""
"C29,C30","2","470n","","",""
"C35,C36","2","100u","","",""
"C41,C42","2","220p","","",""
"C45,C49","2","22u","","",""
"CN1","1","HX JN1.27-2X5 TP H4.9","C42372555","HANXIA","HX JN1.27-2x5 TP H4.9"
"D1","1","RED","","",""
"D2","1","RCLAMP0521P-N","C316043","Born","RCLAMP0521P-N"
"D3,D4,D5","3","BLUE LED","","",""
"D6","1","GREEN LED","","",""
"ER-OLEDM015-2W1","1","~","","",""
"FB1","1","100@100MHz","","",""
"FB2","1","600Ω@100MHz","C1017","Sunlord","GZ2012D601TF"
"J1","1","DM3CS-SF","C202111","Hirose","DM3CS-SF"
"J2","1","HEADPHONES","","",""
"J3","1","AUDIO_IN","","",""
"J4","1","AUDIO_OUT","","",""
"J5","1","USB_C_Receptacle_USB2.0_16P","C2765186","SHOU HAN","TYPE-C 16PIN 2MD(073)"
"L1","1","10n","","",""
"L2","1","10u","C132135","SUNLORD","MWSA0618S-100MT"
"POT_1,POT_2,POT_3,POT_4,POT_5,POT_6,POT_7,POT_8","8","PTV09A-4225F-B104","C5848796","BOURNS","PTV09A-4225F-B104"
"R1,R27,R28,R34","4","1k","C11702","UNI-ROYAL(Uniroyal Elec)","0402WGF1001TCE"
"R2,R3,R6,R7,R8,R9,R10","7","10k","","",""
"R4,R23,R24","3","47k","","",""
"R5","1","22","","",""
"R11,R12,R13","3","330","","",""
"R14,R15","2","4k7","","",""
"R16","1","RK09L12D0A1W","C470487","ALPSALPINE","RK09L12D0A1W"
"R17,R18,R32","3","22k","","",""
"R19,R20","2","33k","","",""
"R21,R22","2","220k","","",""
"R25,R26","2","100","","",""
"R29,R30","2","5k1","","",""
"R31","1","100k","","",""
"R33","1","1k5","","",""
"SW1,SW2","2","100SP1T1B4M2QE","C273353","E-Switch","100SP1T1B4M2QE"
"SW_1","1","BOOT_MODE","C7431054","SHOU HAN","SS12D10G5"
"SW_2","1","SW_RESET","C720477","XUNPU","TS-1088-AR02016"
"U1","1","STM32F405RGTx","C15742","STMicroelectronics","STM32F405RGT6"
"U2","1","ES8388","C365736","Everest-semi(Everest Semiconductor)","ES8388"
"U3","1","TPA6110A2DGN","C130212","Texas Instruments","TPA6110A2DGNR"
"U4","1","USBLC6-2SC6","C7519","STMicroelectronics","USBLC6-2SC6"
"U5","1","TLV62569DBV","C141836","Texas Instruments","TLV62569DBVR"
"U6","1","SPX3819M5-L-3-3","C20617301","TECH PUBLIC","SPX3819M5-L-3-3"
"U7","1","CD4051BM","C21379"," Texas Instruments ","CD4051BM96"
"X1","1","X1E000210127000G","C89577","Seiko Epson","X1E0000210127"
